ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10508593,HZ250410,5/3/2016 21:00,042XX W MADISON ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,1115,11,28,26,18,1148220,1899677,2016,5/10/2016 15:56,41.88065818,-87.73121214,"(41.880658176, -87.731212135)"
10508594,HZ250385,5/3/2016 21:35,065XX S KEDVALE AVE,810,THEFT,OVER $500,APARTMENT,FALSE,TRUE,833,8,13,65,6,1149830,1860872,2016,5/10/2016 15:56,41.77414081,-87.72630709,"(41.77414081, -87.726307093)"
10508595,HZ250362,5/3/2016 14:45,045XX S DAMEN AVE,560,ASSAULT,SIMPLE,STREET,FALSE,TRUE,924,9,12,61,08A,1163662,1874660,2016,5/10/2016 15:56,41.81169772,-87.67521432,"(41.811697721, -87.675214316)"
10508597,HZ250202,5/3/2016 18:42,063XX S CLAREMONT AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,825,8,15,66,08B,1161829,1862607,2016,5/10/2016 15:56,41.77866106,-87.68227253,"(41.778661058, -87.68227253)"
10508598,HZ250298,5/3/2016 15:00,070XX S INDIANA AVE,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,322,3,6,69,3,1178808,1858478,2016,5/10/2016 15:56,41.76696103,-87.62015212,"(41.766961034, -87.620152116)"
10508599,HZ250438,5/3/2016 22:02,0000X N HOMAN BLVD,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,TRUE,FALSE,1123,11,28,27,26,1153709,1900237,2016,5/10/2016 15:56,41.88208743,-87.71104196,"(41.882087429, -87.711041964)"
10508600,HZ250443,5/3/2016 15:30,004XX S HAMLIN BLVD,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,1133,11,24,26,08A,1151172,1897587,2016,5/10/2016 15:56,41.87486564,-87.72042737,"(41.874865643, -87.720427367)"
10508602,HZ250374,5/3/2016 21:09,062XX S MICHIGAN AVE,820,THEFT,$500 AND UNDER,APARTMENT,TRUE,FALSE,311,3,20,40,6,1178263,1863570,2016,5/10/2016 15:56,41.7809464,-87.62199537,"(41.780946398, -87.621995369)"
10508603,HZ250430,5/3/2016 21:42,060XX S EBERHART AVE,2029,NARCOTICS,POSS: HEROIN(BLACK TAR),SIDEWALK,TRUE,FALSE,313,3,20,42,18,1180634,1865037,2016,5/10/2016 15:56,41.78491783,-87.61325785,"(41.784917834, -87.613257846)"
10508604,HZ250386,5/3/2016 20:42,067XX S LAFLIN ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,TRUE,TRUE,725,7,17,67,26,1167494,1860107,2016,5/10/2016 15:56,41.77168117,-87.66157579,"(41.771681167, -87.661575794)"
10508605,HZ250426,5/3/2016 22:15,074XX S RACINE AVE,495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,BAR OR TAVERN,FALSE,FALSE,733,7,17,68,04B,1169614,1855298,2016,5/10/2016 15:56,41.75843896,-87.65394381,"(41.758438955, -87.653943807)"
10508606,HZ250190,5/3/2016 9:30,033XX W OGDEN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,POLICE FACILITY/VEH PARKING LOT,FALSE,FALSE,1024,10,24,29,14,1154489,1891024,2016,5/10/2016 15:56,41.85679041,-87.70842407,"(41.856790413, -87.708424071)"
10508611,HZ250383,5/3/2016 21:15,087XX W FOSTER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,FALSE,FALSE,1614,16,41,76,14,1116844,1933388,2016,5/10/2016 15:56,41.97371228,-87.84572084,"(41.973712278, -87.845720835)"
10508612,HZ250468,5/3/2016 22:30,032XX N MILWAUKEE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,1732,17,31,21,08B,1149589,1921376,2016,5/10/2016 15:56,41.94017587,-87.72562072,"(41.940175866, -87.725620718)"
10508613,HZ250408,5/3/2016 7:30,062XX W PATTERSON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,FALSE,FALSE,1633,16,38,17,11,1134155,1923620,2016,5/10/2016 15:56,41.94661988,-87.78229355,"(41.946619877, -87.782293553)"
10508619,HZ250392,5/3/2016 17:30,002XX S STATE ST,870,THEFT,POCKET-PICKING,CTA TRAIN,FALSE,FALSE,113,1,42,32,6,1176417,1899156,2016,5/10/2016 15:56,41.878639,-87.62769149,"(41.878638996, -87.627691486)"
10508622,HZ250423,5/3/2016 13:30,0000X E RANDOLPH ST,820,THEFT,$500 AND UNDER,SIDEWALK,FALSE,FALSE,111,1,42,32,6,1176904,1901295,2016,5/10/2016 15:56,41.88449753,-87.6258386,"(41.884497529, -87.625838595)"
10508623,HZ250490,5/3/2016 23:30,059XX W FULTON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,1512,15,29,25,14,1136840,1901402,2016,5/10/2016 15:56,41.8856033,-87.77295776,"(41.885603295, -87.772957755)"
10508624,HZ250422,5/3/2016 21:41,048XX W MONTROSE AVE,2220,LIQUOR LAW VIOLATION,ILLEGAL POSSESSION BY MINOR,SIDEWALK,TRUE,FALSE,1623,16,45,15,22,1143493,1928820,2016,5/10/2016 15:56,41.96071926,-87.74783885,"(41.960719263, -87.747838848)"
10508626,HZ250421,5/3/2016 21:45,053XX S CARPENTER ST,820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,FALSE,TRUE,934,9,16,61,6,1170223,1869306,2016,5/10/2016 15:56,41.79686537,-87.65130471,"(41.796865372, -87.651304707)"
10508627,HZ250484,5/3/2016 21:30,059XX S CALUMET AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,232,2,20,40,14,1179500,1865625,2016,5/10/2016 15:56,41.78655735,-87.61739759,"(41.786557348, -87.617397586)"
10508628,HZ250452,5/3/2016 22:13,048XX W RICE ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,1531,15,37,25,04A,1143919,1905217,2016,5/10/2016 15:56,41.89594231,-87.74686618,"(41.895942308, -87.746866179)"
10508629,HZ250451,5/3/2016 22:38,033XX W 62ND PL,2022,NARCOTICS,POSS: COCAINE,STREET,TRUE,FALSE,823,8,15,66,18,1155234,1862989,2016,5/10/2016 15:56,41.7798438,-87.70644026,"(41.779843798, -87.706440256)"
10508633,HZ250449,5/3/2016 21:40,054XX S ARCHER AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,HOTEL/MOTEL,FALSE,TRUE,814,8,23,56,26,1144801,1869688,2016,5/10/2016 15:56,41.7984293,-87.74452144,"(41.798429303, -87.744521435)"
10508634,HZ250487,5/3/2016 23:00,012XX W RANDOLPH ST,890,THEFT,FROM BUILDING,BAR OR TAVERN,FALSE,FALSE,1224,12,27,28,6,1168423,1901173,2016,5/10/2016 15:56,41.8843504,-87.65698526,"(41.884350397, -87.656985264)"
10508635,HZ250453,5/3/2016 10:00,007XX S LAWNDALE AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,1133,11,24,27,5,1151825,1896658,2016,5/10/2016 15:56,41.87230354,-87.71805426,"(41.872303544, -87.718054258)"
10508636,HZ250474,5/3/2016 23:15,039XX W FERDINAND ST,031A,ROBBERY,ARMED: HANDGUN,STREET,FALSE,FALSE,1122,11,27,23,3,1149886,1903045,2016,5/10/2016 15:56,41.8898681,-87.72500701,"(41.889868096, -87.725007009)"
10508638,HZ250436,5/3/2016 22:10,041XX W WASHINGTON BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,FALSE,1114,11,28,26,08B,1148833,1900172,2016,5/10/2016 15:56,41.88200469,-87.72894843,"(41.882004688, -87.728948432)"
10508639,HZ250458,5/3/2016 22:32,037XX S HERMITAGE AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,FALSE,FALSE,912,9,11,59,04A,1165297,1879931,2016,5/10/2016 15:56,41.82612741,-87.66906773,"(41.826127411, -87.669067732)"
10508640,HZ250462,5/3/2016 22:07,035XX W ROOSEVELT RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,1133,11,24,29,18,1153056,1894484,2016,5/10/2016 15:56,41.86631355,-87.71359232,"(41.866313546, -87.713592319)"
10508641,HZ250498,5/3/2016 22:31,066XX S WOLCOTT AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE,FALSE,FALSE,726,7,15,67,15,1164826,1860717,2016,5/10/2016 15:56,41.77341186,-87.67133862,"(41.773411857, -87.671338619)"
10508642,HZ250510,5/3/2016 22:45,027XX W FLOURNOY ST,051A,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,FALSE,TRUE,1135,11,2,27,04A,1158269,1896922,2016,5/10/2016 15:56,41.8728988,-87.69438824,"(41.872898796, -87.694388235)"
10508643,HZ250401,5/3/2016 21:00,075XX S PARNELL AVE,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,TRUE,621,6,17,69,08A,1173854,1854872,2016,5/10/2016 15:56,41.75717702,-87.63841721,"(41.757177021, -87.638417211)"
10508644,HZ250244,5/3/2016 19:13,076XX S HALSTED ST,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,621,6,17,71,08B,1172289,1854291,2016,5/10/2016 15:56,41.75561723,-87.64416974,"(41.755617231, -87.644169735)"
10508646,HZ250293,5/3/2016 19:45,080XX S VERNON AVE,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,631,6,6,44,08B,1180637,1851854,2016,5/10/2016 15:56,41.74874226,-87.61365127,"(41.748742255, -87.613651268)"
10508647,HZ250404,5/3/2016 20:56,063XX S GREENWOOD AVE,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,314,3,20,42,08B,1184492,1863348,2016,5/10/2016 15:56,41.78019354,-87.59916581,"(41.78019354, -87.599165812)"
10508648,HZ250445,5/3/2016 22:10,073XX S MERRILL AVE,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,TRUE,TRUE,333,3,5,43,04A,1191823,1856785,2016,5/10/2016 15:56,41.76200927,-87.57250252,"(41.762009273, -87.572502518)"
10508649,HZ250442,5/3/2016 22:15,041XX W CERMAK RD,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,OTHER,FALSE,FALSE,1013,10,22,29,26,1149030,1889053,2016,5/10/2016 15:56,41.85148902,-87.7285127,"(41.85148902, -87.728512702)"
10508650,HZ250022,5/3/2016 17:00,078XX S MARSHFIELD AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,FALSE,FALSE,611,6,17,71,3,1166708,1852625,2016,5/10/2016 15:56,41.75116636,-87.66467021,"(41.751166357, -87.664670209)"
10508653,HZ250512,5/3/2016 23:58,026XX W LE MOYNE ST,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENTIAL YARD (FRONT/BACK),TRUE,FALSE,1423,14,26,24,04A,1158381,1909870,2016,5/10/2016 15:56,41.90842698,-87.69362262,"(41.908426978, -87.693622615)"
10508656,HZ250476,5/3/2016 15:15,014XX N OGDEN AVE,1720,OFFENSE INVOLVING CHILDREN,CONTRIBUTE DELINQUENCY OF A CHILD,STREET,FALSE,TRUE,1822,18,27,8,20,1171322,1909588,2016,5/10/2016 15:56,41.90737848,-87.64609233,"(41.907378476, -87.64609233)"
10508658,HZ250506,5/3/2016 23:50,018XX S KEDZIE AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,TRUE,FALSE,1022,10,24,29,26,1155317,1890928,2016,5/10/2016 15:56,41.8565104,-87.70538742,"(41.856510401, -87.705387422)"
10508659,HZ250499,5/3/2016 23:38,038XX S PRINCETON AVE,460,BATTERY,SIMPLE,CHA PARKING LOT/GROUNDS,FALSE,FALSE,915,9,3,34,08B,1174922,1879297,2016,5/10/2016 15:56,41.82417802,-87.6337748,"(41.82417802, -87.6337748)"
10508661,HZ250344,5/3/2016 20:44,070XX S WABASH AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,322,3,6,69,04B,1177941,1858411,2016,5/10/2016 15:56,41.76679686,-87.62333203,"(41.766796861, -87.623332025)"
10508662,HZ250477,5/3/2016 8:00,057XX S MICHIGAN AVE,5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,APARTMENT,FALSE,FALSE,232,2,20,40,26,1178135,1867058,2016,5/10/2016 15:56,41.79052072,-87.6223589,"(41.790520722, -87.622358898)"
10508663,HZ250466,5/3/2016 22:10,033XX W MARQUETTE RD,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,APARTMENT,FALSE,FALSE,831,8,15,66,17,1155359,1859995,2016,5/10/2016 15:56,41.77162531,-87.70606205,"(41.771625308, -87.706062047)"
10508664,HZ250486,5/3/2016 23:35,083XX S CARPENTER ST,560,ASSAULT,SIMPLE,RESIDENCE,TRUE,TRUE,613,6,21,71,08A,1170770,1849485,2016,5/10/2016 15:56,41.74246218,-87.6498764,"(41.742462184, -87.649876395)"
10508665,HZ250448,5/3/2016 22:15,095XX S LOOMIS ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,TRUE,2213,22,21,73,14,1168707,1841343,2016,5/10/2016 15:56,41.72016406,-87.65766943,"(41.720164061, -87.657669427)"
10508666,HZ250497,5/3/2016 23:30,053XX S PULASKI RD,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,815,8,23,62,3,1150606,1868988,2016,5/10/2016 15:56,41.79639731,-87.72325128,"(41.79639731, -87.723251281)"
10508671,HZ250526,5/3/2016 23:50,036XX E 106TH ST,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,ALLEY,TRUE,FALSE,432,4,10,52,26,1202327,1835278,2016,5/10/2016 15:56,41.70273118,-87.53473641,"(41.702731182, -87.534736413)"
10508672,HZ250441,5/3/2016 22:25,071XX S MOZART ST,460,BATTERY,SIMPLE,SIDEWALK,TRUE,FALSE,831,8,18,66,08B,1158610,1857066,2016,5/10/2016 15:56,41.76352201,-87.69422464,"(41.763522012, -87.69422464)"
10508675,HZ250502,5/3/2016 23:00,085XX S MAY ST,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,613,6,21,71,3,1170146,1848113,2016,5/10/2016 15:56,41.7387108,-87.65220252,"(41.738710803, -87.652202523)"
10508678,HZ250481,5/3/2016 23:28,088XX S LAFLIN ST,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,2221,22,21,71,04B,1167880,1846134,2016,5/10/2016 15:56,41.73332905,-87.66056137,"(41.733329054, -87.660561367)"
10508679,HZ250507,5/3/2016 23:33,026XX W 23RD PL,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,1034,10,28,30,08B,1159105,1888300,2016,5/10/2016 15:56,41.84922203,-87.69155551,"(41.849222028, -87.69155551)"
10508680,HZ250491,5/3/2016 23:30,073XX S HARVARD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,TRUE,TRUE,731,7,17,69,14,1175230,1856183,2016,5/10/2016 15:56,41.76074395,-87.63333531,"(41.760743949, -87.63333531)"
10508681,HZ250479,5/3/2016 0:15,024XX W 63RD ST,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,FALSE,FALSE,825,8,15,66,04B,1161027,1862810,2016,5/10/2016 15:56,41.77923474,-87.68520713,"(41.779234743, -87.685207125)"
10508690,HZ250370,5/3/2016 21:07,082XX S EXCHANGE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,423,4,7,46,08B,1197261,1850727,2016,5/10/2016 15:56,41.74525198,-87.55277346,"(41.745251975, -87.552773464)"
10508692,HZ250517,5/3/2016 23:38,001XX E 75TH ST,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,323,3,6,69,26,1178696,1855324,2016,5/10/2016 15:56,41.75830866,-87.62065842,"(41.75830866, -87.620658418)"
10508693,HZ250496,5/3/2016 23:40,013XX S SAWYER AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,1022,10,24,29,08B,1154907,1893681,2016,5/10/2016 15:56,41.86407316,-87.70681861,"(41.864073157, -87.706818608)"
10508695,HZ250409,5/3/2016 21:40,061XX S DREXEL AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,313,3,20,42,08B,1183066,1864330,2016,5/10/2016 15:56,41.78292153,-87.60436317,"(41.782921527, -87.60436317)"
10508697,HZ250503,5/3/2016 23:31,053XX W CHICAGO AVE,470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,FALSE,FALSE,1524,15,37,25,24,1140789,1904819,2016,5/10/2016 15:56,41.89490828,-87.75837196,"(41.894908283, -87.758371958)"
10508698,HZ250424,5/3/2016 22:10,049XX W FULTON ST,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,1532,15,28,25,08B,1143223,1901475,2016,5/10/2016 15:56,41.88568685,-87.74951598,"(41.885686845, -87.749515983)"
10508699,HZ250455,5/3/2016 22:00,003XX N LOTUS AVE,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,TRUE,1523,15,28,25,6,1139890,1901675,2016,5/10/2016 15:56,41.88629724,-87.76175071,"(41.886297242, -87.761750709)"
10508702,HZ250447,5/3/2016 22:35,082XX S MARYLAND AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,631,6,8,44,04B,1183336,1850642,2016,5/10/2016 15:56,41.74535402,-87.6037989,"(41.745354023, -87.603798903)"
10508703,HZ250489,5/3/2016 22:30,027XX S STATE ST,460,BATTERY,SIMPLE,CHA HALLWAY/STAIRWELL/ELEVATOR,FALSE,FALSE,133,1,3,35,08B,1176730,1886544,2016,5/10/2016 15:56,41.84402377,-87.62692325,"(41.844023772, -87.626923253)"
10508704,HZ250514,5/3/2016 21:30,002XX E 46TH ST,460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,215,2,3,38,08B,1178514,1874573,2016,5/10/2016 15:56,41.81113396,-87.62074077,"(41.811133958, -87.62074077)"
10508709,HZ250523,5/3/2016 16:00,014XX W DEVON AVE,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,2432,24,40,1,08B,1165696,1942616,2016,5/10/2016 15:56,41.99813061,-87.66581404,"(41.99813061, -87.665814038)"
10508982,HZ250667,5/3/2016 22:30,069XX S ASHLAND AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,735,7,17,67,08B,1166876,1858796,2016,5/10/2016 15:56,41.76809684,-87.66387859,"(41.768096835, -87.663878589)"
10508710,HZ250469,5/3/2016 21:44,074XX S SOUTH SHORE DR,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,VEHICLE NON-COMMERCIAL,TRUE,FALSE,334,3,7,43,15,1195696,1856719,2016,5/10/2016 15:56,41.76173329,-87.55830998,"(41.761733286, -87.558309979)"
10508715,HZ250541,5/3/2016 23:11,006XX N WABASH AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,TRUE,TRUE,1834,18,42,8,08B,1176630,1904401,2016,5/10/2016 15:56,41.89302675,-87.62675083,"(41.893026751, -87.626750829)"
10508717,HZ250415,5/3/2016 17:30,011XX W JACKSON BLVD,890,THEFT,FROM BUILDING,OTHER,FALSE,FALSE,1232,12,2,28,6,1168776,1898793,2016,5/10/2016 15:56,41.87781186,-87.65575801,"(41.877811861, -87.655758012)"
10508724,HZ250513,5/3/2016 9:00,028XX S DR MARTIN LUTHER KING JR DR,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,133,1,4,35,6,1179375,1886199,2016,5/10/2016 15:56,41.84301696,-87.61722727,"(41.843016958, -87.61722727)"
10508728,HZ250505,5/3/2016 22:08,016XX N CLAREMONT AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1434,14,1,24,6,1160444,1910787,2016,5/10/2016 15:56,41.91090083,-87.68601875,"(41.910900826, -87.686018747)"
10508732,HZ250535,5/3/2016 16:00,072XX S RICHMOND ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,831,8,18,66,08B,1157957,1856539,2016,5/10/2016 15:56,41.76208913,-87.69663234,"(41.762089133, -87.696632337)"
10508738,HZ250440,5/3/2016 21:45,020XX W LE MOYNE ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1424,14,1,24,6,1162515,1909832,2016,5/10/2016 15:56,41.9082371,-87.67843742,"(41.908237096, -87.678437417)"
10508741,HZ250587,5/3/2016 22:00,055XX S STATE ST,313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,SIDEWALK,FALSE,FALSE,225,2,3,40,3,1177219,1868295,2016,5/10/2016 15:56,41.79393591,-87.62568028,"(41.793935909, -87.625680278)"
10508747,HZ250577,5/3/2016 20:00,100XX S SANGAMON ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2232,22,34,73,7,1171751,1838335,2016,5/10/2016 15:56,41.71184357,-87.64660793,"(41.711843569, -87.646607932)"
10508752,HZ250500,5/3/2016 23:00,043XX S ELLIS AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,222,2,4,39,08B,1183654,1876344,2016,5/10/2016 15:56,41.81587521,-87.60183257,"(41.815875211, -87.601832565)"
10508755,HZ250531,5/3/2016 23:37,015XX N DAMEN AVE,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,1424,14,1,24,08A,1162780,1910519,2016,5/10/2016 15:56,41.91011672,-87.67744465,"(41.910116718, -87.677444645)"
10508757,HZ250601,5/3/2016 13:30,057XX S COTTAGE GROVE AVE,560,ASSAULT,SIMPLE,OTHER,FALSE,FALSE,235,2,5,41,08A,1182557,1867162,2016,5/10/2016 15:56,41.79070461,-87.60614149,"(41.790704614, -87.606141486)"
10508987,HZ250698,5/3/2016 18:30,025XX N GREENVIEW AVE,810,THEFT,OVER $500,RESIDENCE-GARAGE,FALSE,FALSE,1932,19,32,7,6,1165898,1916813,2016,5/10/2016 15:56,41.92732184,-87.66581042,"(41.927321839, -87.665810418)"
10509011,HZ250748,5/3/2016 21:00,068XX W HIGHLAND AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1611,16,41,10,6,1129898,1941574,2016,5/10/2016 15:56,41.99596152,-87.79752856,"(41.995961517, -87.797528563)"
10509016,HZ250610,5/3/2016 23:30,003XX W HUBBARD ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,FALSE,FALSE,1831,18,42,8,26,1173680,1903250,2016,5/10/2016 15:56,41.88993449,-87.63761923,"(41.889934493, -87.637619229)"
10509030,HZ250659,5/3/2016 7:00,010XX W 95TH ST,820,THEFT,$500 AND UNDER,VEHICLE-COMMERCIAL,FALSE,FALSE,2223,22,21,73,6,1170857,1841803,2016,5/10/2016 15:56,41.7213798,-87.64978116,"(41.721379795, -87.649781161)"
10509071,HZ250713,5/3/2016 20:30,012XX W FULLERTON AVE,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1932,19,32,7,6,1167657,1916082,2016,5/10/2016 15:56,41.92527818,-87.65936796,"(41.925278177, -87.65936796)"
10509077,HZ250776,5/3/2016 0:01,002XX W 33RD ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,FALSE,FALSE,915,9,11,34,11,1175297,1883093,2016,5/10/2016 15:56,41.83458618,-87.63228541,"(41.834586177, -87.632285413)"
10509078,HZ250611,5/3/2016 0:01,043XX S SAWYER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,821,8,14,58,11,1155409,1875700,2016,5/10/2016 15:56,41.81472107,-87.7054583,"(41.814721065, -87.7054583)"
10509094,HZ250662,5/3/2016 23:00,084XX S MORGAN ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,613,6,21,71,7,1171118,1848917,2016,5/10/2016 15:56,41.74089592,-87.64861788,"(41.740895923, -87.648617881)"
10509096,HZ250700,5/3/2016 16:45,003XX W MONROE ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,122,1,2,32,7,1174166,1899864,2016,5/10/2016 15:56,41.88063228,-87.63593549,"(41.88063228, -87.635935494)"
10509107,HZ250666,5/3/2016 14:40,001XX S PARKSIDE AVE,460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,1513,15,29,25,08B,1138636,1898830,2016,5/10/2016 15:56,41.87851302,-87.76642478,"(41.87851302, -87.766424778)"
10509118,HZ250763,5/3/2016 19:30,042XX W KAMERLING AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2534,25,37,23,6,1147775,1908648,2016,5/10/2016 15:56,41.90528413,-87.73261553,"(41.90528413, -87.732615525)"
10509137,HZ250815,5/3/2016 21:45,037XX N WILTON AVE,810,THEFT,OVER $500,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1923,19,44,6,6,1169265,1925099,2016,5/10/2016 15:56,41.94998639,-87.65319658,"(41.949986394, -87.65319658)"
10509139,HZ250777,5/3/2016 22:30,010XX W GRANVILLE AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,APARTMENT,FALSE,FALSE,2433,24,48,77,14,1167960,1941343,2016,5/10/2016 15:56,41.99458874,-87.65752255,"(41.994588742, -87.657522554)"
10509159,HZ250847,5/3/2016 9:00,100XX S VERNON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,511,5,9,49,11,1181016,1838453,2016,5/10/2016 15:56,41.7119596,-87.61267363,"(41.711959596, -87.612673629)"
10509160,HZ250831,5/3/2016 6:30,006XX W 41ST ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,925,9,11,61,6,1172757,1877882,2016,5/10/2016 15:56,41.82034323,-87.64175921,"(41.820343226, -87.641759214)"
10509162,HZ250825,5/3/2016 1:38,034XX N ALBANY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,1733,17,33,21,14,1155113,1922566,2016,5/10/2016 15:56,41.94333206,-87.70528607,"(41.943332055, -87.705286066)"
10509183,HZ250769,5/3/2016 21:00,068XX S OGLESBY AVE,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,331,3,5,43,6,1192946,1860098,2016,5/10/2016 15:56,41.77107306,-87.56827866,"(41.771073064, -87.568278663)"
10509210,HZ250655,5/3/2016 21:30,068XX S ASHLAND AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,725,7,17,67,08B,1166850,1859459,2016,5/10/2016 15:56,41.76991675,-87.66395498,"(41.769916749, -87.663954978)"
10509213,HZ250838,5/3/2016 19:00,133XX S LANGLEY AVE,820,THEFT,$500 AND UNDER,CHA PARKING LOT/GROUNDS,FALSE,FALSE,533,5,9,54,6,1183339,1817078,2016,5/10/2016 15:56,41.65324998,-87.60482818,"(41.653249978, -87.604828177)"
